tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N11107,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11109,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11113,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11119,Corporation,EMBRAER,2003-01-08,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11121,Corporation,EMBRAER,2003-01-22,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11127,Corporation,EMBRAER,2003-03-10,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11137,Corporation,EMBRAER,2003-05-21,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11140,Corporation,EMBRAER,2003-06-16,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11150,Corporation,EMBRAER,2003-10-21,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11155,Corporation,EMBRAER,2004-01-28,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11164,Corporation,EMBRAER,2004-06-09,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11165,Corporation,EMBRAER,2004-06-24,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11176,Corporation,EMBRAER,2005-01-12,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11181,Corporation,EMBRAER,2005-04-13,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11184,Corporation,EMBRAER,2005-05-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11187,Corporation,EMBRAER,2005-07-13,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11189,Corporation,EMBRAER,2005-08-11,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11191,Corporation,EMBRAER,2005-09-14,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11192,Corporation,EMBRAER,2005-10-05,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11193,Corporation,EMBRAER,2005-10-19,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11194,Corporation,EMBRAER,2005-11-09,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11199,Corporation,EMBRAER,2006-02-22,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N111US,Corporation,AIRBUS INDUSTRIE,1999-11-29,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11206,Corporation,BOEING,2000-07-27,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N112US,Corporation,AIRBUS INDUSTRIE,1999-12-22,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N113UW,Corporation,AIRBUS INDUSTRIE,2000-01-18,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N114UW,Corporation,AIRBUS INDUSTRIE,2000-01-24,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11526,Corporation,EMBRAER,2001-04-04,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11535,Corporation,EMBRAER,2002-07-10,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11536,Corporation,EMBRAER,2002-07-10,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11539,Corporation,EMBRAER,2002-05-29,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11544,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11547,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11548,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11551,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11565,Corporation,EMBRAER,2002-08-23,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11612,Corporation,BOEING,1994-07-20,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N11641,Corporation,BOEING,1997-08-29,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11651,Corporation,BOEING,1997-12-31,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11656,Corporation,BOEING,2008-02-22,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N116UA,Corporation,BOEING,1998-12-29,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N117UA,Corporation,BOEING,1999-02-01,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N117UW,Corporation,AIRBUS INDUSTRIE,2000-08-11,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N118US,Corporation,AIRBUS INDUSTRIE,2000-09-14,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N119UA,Corporation,BOEING,1999-03-31,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N119US,Corporation,AIRBUS INDUSTRIE,2000-08-18,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1200K,Corporation,BOEING,1998-04-13,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N1201P,Corporation,BOEING,1998-04-22,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N120UA,Corporation,BOEING,1999-04-13,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12109,Corporation,BOEING,1994-12-07,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N12114,Corporation,BOEING,1995-07-05,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
N12116,Corporation,BOEING,1996-03-29,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N12122,Corporation,EMBRAER,2003-01-22,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12125,Corporation,BOEING,1998-02-02,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12126,Corporation,EMBRAER,2003-02-12,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12135,Corporation,EMBRAER,2003-05-07,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12136,Corporation,EMBRAER,2003-05-14,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12142,Corporation,EMBRAER,2003-06-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12145,Corporation,EMBRAER,2003-08-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12157,Corporation,EMBRAER,2004-02-19,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12160,Corporation,EMBRAER,2004-04-14,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12163,Corporation,EMBRAER,2004-05-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12166,Corporation,EMBRAER,2004-07-28,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12167,Corporation,EMBRAER,2004-07-29,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12172,Corporation,EMBRAER,2004-10-27,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12175,Corporation,EMBRAER,2004-12-15,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12195,Corporation,EMBRAER,2005-12-07,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N121DE,Corporation,BOEING,1987-06-09,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N121UA,Corporation,BOEING,1999-04-23,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N121UW,Corporation,AIRBUS INDUSTRIE,2000-09-22,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12201,Corporation,EMBRAER,2006-04-19,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N12216,Corporation,BOEING,1998-08-05,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12218,Corporation,BOEING,1998-08-17,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12221,Corporation,BOEING,1998-12-02,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12225,Corporation,BOEING,1998-12-22,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12238,Corporation,BOEING,1999-10-12,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122UA,Corporation,BOEING,1999-06-15,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122US,Corporation,AIRBUS INDUSTRIE,2000-11-30,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12313,Corporation,BOEING,1985-10-18,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N12318,Corporation,BOEING,2006-07-18,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12319,Corporation,BOEING,2006-07-18,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12322,Corporation,BOEING,1997-06-30,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12327,Corporation,BOEING,2004-05-05,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12349,Corporation,BOEING,2006-10-04,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N123UW,Corporation,AIRBUS INDUSTRIE,2000-11-20,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N124DE,Corporation,BOEING,1987-11-25,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N124US,Corporation,AIRBUS INDUSTRIE,2000-11-21,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12519,Corporation,EMBRAER,2001-01-10,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12530,Corporation,EMBRAER,2002-05-31,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12540,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12552,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12563,Corporation,EMBRAER,2002-06-27,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12564,Corporation,EMBRAER,2002-07-18,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12567,Corporation,EMBRAER,2002-08-26,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12569,Corporation,EMBRAER,2003-06-24,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N125DL,Corporation,BOEING,2008-02-06,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N126AT,Corporation,BOEING,2004-06-24,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N126DL,Corporation,BOEING,2008-02-04,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N127DL,Corporation,BOEING,1988-07-11,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128DL,Corporation,BOEING,1988-07-13,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128UA,Corporation,BOEING,2000-05-15,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12900,Corporation,EMBRAER,2002-07-01,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12921,Corporation,EMBRAER,2000-12-14,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12922,Corporation,EMBRAER,2000-11-08,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12924,Corporation,EMBRAER,2000-10-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12934,Corporation,EMBRAER,1998-02-23,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N12946,Corporation,EMBRAER,1998-07-22,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12957,Corporation,EMBRAER,1999-01-04,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12967,Corporation,EMBRAER,1999-06-18,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12996,Corporation,EMBRAER,2000-10-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N129DL,Corporation,BOEING,1988-07-11,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N1309T,Corporation,DOUGLAS,2004-06-17,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
N130DL,Corporation,BOEING,2007-03-06,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N13110,Corporation,BOEING,1994-12-08,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N13113,Corporation,BOEING,1995-04-12,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
N13118,Corporation,EMBRAER,2003-06-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13123,Corporation,EMBRAER,2003-02-05,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13124,Corporation,EMBRAER,2003-02-05,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13132,Corporation,EMBRAER,2003-04-09,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13133,Corporation,EMBRAER,2003-04-16,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13138,Corporation,BOEING,2000-06-02,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13161,Corporation,EMBRAER,2004-04-29,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N131DN,Corporation,BOEING,2007-11-19,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N13202,Corporation,EMBRAER,2006-04-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N13248,Corporation,BOEING,1999-12-07,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N132DN,Corporation,BOEING,1991-02-15,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N1332U,Corporation,MCDONNELL DOUGLAS,1986-12-22,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1969
N1334U,Corporation,DOUGLAS,1986-12-22,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1970
N133DN,Corporation,BOEING,1991-02-14,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N134DL,Corporation,BOEING,1991-02-26,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13538,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13550,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13553,Corporation,EMBRAER,2002-05-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13566,Corporation,EMBRAER,2002-08-23,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N135DL,Corporation,BOEING,1991-06-06,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13624,Corporation,BOEING,1995-02-07,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
N136DL,Corporation,BOEING,1991-06-18,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13716,Corporation,BOEING,1998-12-07,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N13718,Corporation,BOEING,1999-01-26,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13720,Corporation,BOEING,1999-03-01,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13750,Corporation,BOEING,1999-06-07,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N137DL,Corporation,BOEING,1991-11-01,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N138DL,Corporation,BOEING,1992-01-21,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13903,Corporation,EMBRAER,2002-07-02,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13908,Corporation,EMBRAER,2002-05-31,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13913,Corporation,EMBRAER,2001-05-25,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13914,Corporation,EMBRAER,2001-05-09,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13929,Corporation,EMBRAER,1997-11-29,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13935,Corporation,EMBRAER,1998-02-23,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13936,Corporation,EMBRAER,1998-02-23,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13949,Corporation,EMBRAER,1998-07-22,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13955,Corporation,EMBRAER,1999-01-04,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13956,Corporation,EMBRAER,1999-01-04,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13958,Corporation,EMBRAER,1999-01-04,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13964,Corporation,EMBRAER,1999-06-17,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13965,Corporation,EMBRAER,1999-06-17,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13968,Corporation,EMBRAER,1999-06-17,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13969,Corporation,EMBRAER,1999-09-17,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13970,Corporation,EMBRAER,1999-09-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13975,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13978,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13979,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13988,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13989,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13990,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13992,Corporation,EMBRAER,2000-10-20,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13994,Corporation,EMBRAER,2000-10-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13995,Corporation,EMBRAER,2000-10-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N13997,Corporation,EMBRAER,2000-10-30,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N139DL,Corporation,BOEING,1992-05-11,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N1402A,Corporation,BOEING,1993-09-29,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N140LL,Corporation,BOEING,2008-03-24,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N14102,Corporation,BOEING,1994-06-03,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14105,Corporation,EMBRAER,2003-06-24,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14106,Corporation,BOEING,1994-09-23,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14107,Corporation,BOEING,1994-10-17,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N14115,Corporation,BOEING,1995-08-15,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
N14116,Corporation,EMBRAER,2003-06-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14117,Corporation,EMBRAER,2003-06-26,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14118,Corporation,BOEING,1997-03-28,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14120,Corporation,BOEING,1997-08-05,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14121,Corporation,BOEING,1997-08-01,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14125,Corporation,EMBRAER,2003-02-12,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14143,Corporation,EMBRAER,2003-07-17,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14148,Corporation,EMBRAER,2003-09-18,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14153,Corporation,EMBRAER,2003-12-10,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N14158,Corporation,EMBRAER,2004-03-11,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14162,Corporation,EMBRAER,2004-05-10,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14168,Corporation,EMBRAER,2004-08-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14171,Corporation,EMBRAER,2004-10-20,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14173,Corporation,EMBRAER,2004-11-24,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14174,Corporation,EMBRAER,2004-12-08,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N14177,Corporation,EMBRAER,2005-02-16,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14179,Corporation,EMBRAER,2005-03-09,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14180,Corporation,EMBRAER,2005-03-23,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14186,Corporation,EMBRAER,2005-06-29,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14188,Corporation,EMBRAER,2005-07-20,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N14198,Corporation,EMBRAER,2006-02-08,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14203,Corporation,EMBRAER,2006-05-22,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14204,Corporation,EMBRAER,2006-06-21,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N14214,Corporation,BOEING,1998-07-27,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14219,Corporation,BOEING,1998-08-28,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14230,Corporation,BOEING,1999-06-17,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14231,Corporation,BOEING,1999-06-22,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14237,Corporation,BOEING,1999-09-22,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14242,Corporation,BOEING,1999-10-26,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14250,Corporation,BOEING,2000-06-02,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14308,Corporation,BOEING,1985-09-24,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N14320,Corporation,BOEING,2004-02-17,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14324,Corporation,BOEING,1997-07-01,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14325,Corporation,BOEING,2008-05-21,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14334,Corporation,BOEING,1997-09-02,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14335,Corporation,BOEING,1997-09-02,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
